link_id,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,VDF_FFTT1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_frequency1,VDF_FFTT2,VDF_cap2,VDF_alpha2,VDF_beta2,VDF_frequency2,VDF_FFTT3,VDF_cap3,VDF_alpha3,VDF_beta3,VDF_frequency3,VDF_FFTT4,VDF_cap4,VDF_alpha4,VDF_beta4,VDF_frequency4,VDF_FFTT5,VDF_cap5,VDF_alpha5,VDF_beta5,VDF_frequency5,geometry
1,1,3,Freeway,1,1,0.07435,3,60,1900,0,5700,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING (-112.2164131 33.65392689, -112.2031119 33.667556)"
2,3,4,Freeway,1,1,0.07435,3,60,1800,0,5400,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING (-112.2031119 33.667556, -112.1827035 33.66763706)"
3,4,5,Freeway,1,1,0.07435,3,60,1800,0,5400,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING (-112.1827035 33.66763706, -112.1631159 33.66777202)"
4,5,6,Freeway,1,1,0.07435,3,60,1800,0,5400,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING (-112.1631159 33.66777202, -112.1407012 33.66792645)"
5,6,7,Freeway,1,1,0.07435,3,60,1800,0,5400,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING (-112.1407012 33.66792645, -112.1203058 33.66806697)"
6,7,8,Freeway,1,1,0.07435,3,60,1800,0,5400,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING (-112.1203058 33.66806697, -112.098093 33.66822001)"
7,8,9,Freeway,1,1,0.07435,3,60,1800,0,5400,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING (-112.098093 33.66822001, -112.079717 33.66834661)"
8,10,11,Freeway,1,1,0.07435,2,60,1800,0,3600,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING (-112.0623506 33.66846626, -112.0461959 33.66857756)"
9,11,12,Freeway,1,1,0.07435,3,60,1800,0,5400,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING (-112.0461959 33.66857756, -112.0386421 33.66230013)"
10,9,10,Freeway,1,1,0.07435,2,60,1800,0,3600,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING (-112.079717 33.66834661, -112.0623506 33.66846626)"
